Raw Company	Cleaned Company
Beth Israel Lahey Health	Beth Israel Lahey
Biogen Inc.	Biogen
BlackRock Inc.	BlackRock
Blackstone Inc.	Blackstone
Bloomberg	Bloomberg
Blue Cross And Blue Shield Of Illinois Montana New Mexico Oklahoma & Texas	Blue Cross And Blue Shield
Bon Secours Mercy Health	Bon Secours Mercy
Brightspring Health Services Inc	Brightspring
Broadridge Financial Solutions Inc.	Broadridge
Brookfield	Brookfield
BRP Inc.	BRP
Camping World	Camping World
Capital One Financial Corporation	Capital One
CDW Corporation	CDW
Centene Corporation	Centene
CenterPoint Energy Inc.	CenterPoint
CHRISTUS Health	CHRISTUS
CIBC	CIBC
Cintas Corporation	Cintas
City Of Calgary	City Of Calgary
Comcast Corporation	Comcast
CommonSpirit Health	CommonSpirit
Covetrus Inc.	Covetrus
Dairy Farmers Of America	Dairy Farmers Of America
Edwards Lifesciences Corporation	Edwards Lifesciences
Endpoint	Endpoint
Fidelity Investments	Fidelity
Fifth Third Bankcorp	Fifth Third Bank
FirstService Residential	FirstService
Fisher Investments	Fisher
Freddie Mac	Freddie Mac
Goldman Sachs Group Inc.	Goldman Sachs
Government Of Alberta	Government Of Alberta
Hawaiian Electric	Hawaiian Electric
Hearst	Hearst
Hertz	Hertz
Honeywell International Inc.	Honeywell
HP Inc.	HP
IDEMIA	IDEMIA
IHeartMedia Inc.	IHeartMedia
Intact Financial	Intact Financial
Intercontinental Exchange Inc.	Intercontinental Exchange
Interpublic Group Of Companies Inc.	Interpublic Group Of Companies
J.P. Morgan	J.P. Morgan
Kaiser Permanente	Kaiser Permanente
Kinder Morgan Inc.	Kinder Morgan
King & Spalding	King & Spalding
KKR & Co. Inc.	KKR & Co
Las Vegas Sands Corp.	Las Vegas Sands
Levi Strauss & Co.	Levi Strauss
Liberty Mutual Insurance	Liberty Mutual Insurance
Machine IT Services	Machine IT
Manulife	Manulife
Marathon Petroleum Corporation	Marathon
Marriott International Inc.	Marriott
Mass General Brigham	Mass General
MassMutual	MassMutual
MilliporeSigma	MilliporeSigma
Motional	Motional
National Hockey League	NHL
NBCUniversal	NBCUniversal
Network-Ops	Network-Ops
Nike Inc.	Nike
Northwestern Mutual	Northwestern Mutual
Optum	Optum
Pactiv Evergreen Inc.	Pactiv Evergreen
Peraton	Peraton
Phillips 66	Phillips 67
ProMedica	ProMedica
Providence	Providence
Public Administration	Public Administration
PwC	PwC
Rogers Communications	Rogers Communications
Ross Stores Inc.	Ross Stores
Royal Bank Of Canada	Royal Bank Of Canada
RTX Corporation	RTX
SC Johnson	SC Johnson
Seattle Children's	Seattle Children's
Sherwin-Williams Company	Sherwin-Williams
Standard Industries	Standard Industries
State Farm Insurance	State Farm Insurance
Subway	Subway
Synopsys Inc.	Synopsys
Sysco Corporation	Sysco
Tata Consultancy Services	TCS
TEKsystems	TEKsystems
Teleperformance SE	Teleperformance
TIAA	TIAA
T-Mobile	T-Mobile
Travelers Companies Inc.	Travelers Companies
U.S. Department Of Veterans Affairs	U.S. Department Of Veterans Affairs
Universal Music Group	Universal Music
University Hospitals	University Hospitals
Vail Resorts Inc.	Vail Resorts
Valero Energy Corporation	Valero Energy
VERIZON EUROPEAN HOLDINGS LIMITED	Verizon
Vertex Pharmaceuticals	Vertex Pharmaceuticals
Vertiv	Vertiv
VyStar Credit Union	VyStar Credit Union
W.W. Grainger Inc.	W.W. Grainger
Walgreens	Walgreens
Workday Inc.	Workday
Zimmer Biomet Holdings Inc	Zimmer Biomet
Zurich North America	Zurich
