Raw Company	Cleaned Company
Arla Foods	Arla
BSH Home Appliances Group	BSH
Philip Morris International Inc.	PMI
Hachette Livre	Hachette Livre
Unilever	Unilever
Axel Springer	Axel Springer
EssilorLuxottica	EssilorLuxottica
IKEA	IKEA
BNP Paribas S.A.	BNP Paribas
GE Healthcare	GE Healthcare
Revolut	Revolut
Pininfarina S.p.A	Pininfarina
Iberostar Group	Iberostar
Draftkings Inc	Draftkings
BASF PETRONAS Chemicals Sdn. Bhd.	Basf Petronas
Philips	Philips
Medicen Paris Region	Medicen
CNH Industrial	CNH
BlaBlaCar	BlaBlaCar
Fremantle	Fremantle
Eni	Eni
Nothing	Nothing
CaixaBank	CaixaBank
Take-Two Interactive Software Inc.	Take-Two
Mistral AI	Mistral AI
RIU Hotels & Resorts	RIU
Fever	Fever
MGM	MGM
Deliveroo	Deliveroo
Groupon	Groupon
Medtronic	Medtronic
FanDuel	FanDuel
LyondellBasell Industries	LyondellBasell
RIMOWA	RIMOWA
Gucci	Gucci
Galeries Lafayette Group	Galeries Lafayette
FlixBus	FlixBus
The TJX Companies Inc.	TJX Companies
Air France	Air France
Disneyland Paris	Disneyland
V-ZUG Holding AG	V-ZUG 
Flutter Entertainment Plc	Flutter
FDJ - La Fran̤aise Des Jeux	FDJ
Essity	Essity
UBS	UBS
Specsavers Optical Group Ltd.	Specsavers
DECATHLON FRANCE	Decathlon
CARLSBERG SUPPLY COMPANY UK LIMITED	Carlsberg
Trainline plc	Trainline
Oatly Group AB	Oatly
Zurich Insurance Group	Zurich
CNP Assurances	CNP
Rolls-Royce Power Systems AG	Rolls-Royce
DFDS	DFDS
CEPSA	CEPSA
McKesson Corporation	McKesson
Brava Labs	Brava Labs
Deutsche Lufthansa AG	Lufthansa
Carnival UK	Carnival
Lufthansa	Lufthansa
Legal & General	Legal & General
Mapfre S.A.	Mapfre
OASE	OASE
Holcim Ltd.	Holcim
German UDS	UDS
AutoScout24	AutoScout24
Munich Re	Munich Re
Odin Vision	Odin Vision
Hyundai Engineering & Construction Co. Ltd.	Hyundai
Shell Chemicals Europe B.V.	Shell
Safran Electronics & Defense Canada Inc.	Safran
RELX	RELX
Castrol	Castrol
PreussenElektra	PreussenElektra
Samsung SDS	Samsung
HIVE TECHNOLOGY LIMITED	Hive
Lloyds Banking Group	Lloyds
Groupe Atlantic	Groupe Atlantic
Haleon	Haleon
Renault Group	Renault
Morrisons	Morrisons
SoundCloud	SoundCloud
AMC Networks Inc.	AMC
Ferrero	Ferrero
Soho House & Co Inc	Soho House
Fortnum & Mason	Fortnum & Mason
Inditex	Inditex
Moncler S.p.A.	Moncler
Vodafone Group Plc	Vodafone
GXO Logistics Inc.	GXO
Deutsche Telekom AG	Deutsche Telekom
DHL International	DHL
ENGIE	ENGIE
Volvo Group	Volvo
SKF Group	SKF
Bosch	Bosch
Danfoss	Danfoss
Danske Bank	Danske Bank
JPMorgan Chase & Co.	JPMorgan Chase
Coca-Cola Europacific Partners	Coca-Cola
Microsoft Corporation	Microsoft
Bank Of New York Mellon	BNY
Publicis Groupe	Publicis
Banque Cantonale Vaudoise	Banque Cantonale Vaudoise
Syensqo	Syensqo
DNB	DNB
Solventum	Solventum
Bank Of America Corporation	Bank Of America
ZF Group	ZF
Evonik Industries AG	Evonik
Continental	Continental
Infineon Technologies	Infineon
Northern Trust Corporation	Northern Trust
Jefferies Financial Group Inc.	Jefferies
